日|ひ, -び, ニチ|day, sun, Japan
一|ひと-, ひと.つ, イチ|one, one radical (no.1)
人|ひと, -り, ジン|person
年|とし, ネン|year, counter for years
大|おお-, おお.きい, ダイ|large, big
十|とお, と, ジュウ|ten
二|ふた, ふた.つ, ニ|two, two radical (no.2)
本|もと, ホン|book, present, main
中|なか, うち, チュウ|in, inside, middle, mean
出|で.る, -で, シュツ|exit, leave, go out
三|み, み.つ, サン|three
見|み.る, み.える, ケン|see, hopes, chances
月|つき, ゲツ|month, moon
生|い.きる, い.かす, セイ|life, genuine, birth
五|いつ, いつ.つ, ゴ|five
上|うえ, -うえ, ジョウ|above, up
四|よ, よ.つ, シ|four
金|かね, かな-, キン|gold
九|ここの, ここの.つ, キュウ|nine
入|い.る, -い.る, ニュウ|enter, insert
立|た.つ, -た.つ, リツ|stand up, rise, set up
手|て, て-, シュ|hand
力|ちから, リョク|power, strength, strong
学|まな.ぶ, ガク|study, learning, science
円|まる.い, まる, エン|circle, yen, round
子|こ, -こ, シ|child, sign of the rat
目|め, -め, モク|eye, class, look
田|た, デン|rice field, rice paddy
八|や, や.つ, ハチ|eight
六|む, む.つ, ロク|six
下|した, しも, カ|below, down, descend
気|いき, キ|spirit, mind, air
小|ちい.さい, こ-, ショウ|little, small
七|なな, なな.つ, シチ|seven
山|やま, サン|mountain
正|ただ.しい, ただ.す, セイ|correct, justice
女|おんな, め, ジョ|woman, female
百|もも, ヒャク|hundred
先|さき, ま.ず, セン|before, ahead, previous
名|な, -な, メイ|name, noted
川|かわ, セン|stream, river
文|ふみ, あや, ブン|sentence, literature
千|ち, セン|thousand
水|みず, みず-, スイ|water
男|おとこ, お, ダン|male
村|むら, ソン|village, town
口|くち, コウ|mouth
町|まち, チョウ|town, village, block
校|コウ|exam, school, printing
空|そら, あ.く, クウ|empty, sky, void, vacant
土|つち, ド|soil, earth, ground
木|き, こ-, ボク|tree, wood
車|くるま, シャ|car
石|いし, セキ|stone
足|あし, た.りる, ソク|leg, foot, be sufficient
早|はや.い, はや, ソウ|early, fast
白|しろ, しら-, ハク|white
字|あざ, あざな, ジ|character, letter, word
音|おと, ね, オン|sound, noise
天|あまつ, あめ, テン|heavens, sky, imperial
火|ひ, -び, カ|fire
花|はな, カ|flower
赤|あか, あか-, セキ|red
青|あお, あお-, セイ|blue, green
竹|たけ, チク|bamboo
右|みぎ, ウ|right
森|もり, シン|forest, woods
左|ひだり, サ|left
休|やす.む, やす.まる, キュウ|rest, day off, retire
林|はやし, リン|grove, forest
王|オウ|king, rule, magnate
玉|たま, たま-, ギョク|jewel, ball
夕|ゆう, セキ|evening
雨|あめ, あま-, ウ|rain
草|くさ, くさ-, ソウ|grass, weeds, herbs
犬|いぬ, いぬ-, ケン|dog
耳|みみ, ジ|ear
虫|むし, チュウ|insect, bug, temper
糸|いと, シ|thread
貝|かい, バイ|shellfish
国|くに, コク|country
会|あ.う, あ.わせる, カイ|meeting, meet, party
長|なが.い, おさ, チョウ|long, leader
同|おな.じ, ドウ|same, agree, equal
時|とき, -どき, ジ|time, hour
自|みずか.ら, おの.ずから, ジ|oneself
行|い.く, ゆ.く, コウ|going, journey
社|やしろ, シャ|company, firm, office
分|わ.ける, わ.け, ブン|part, minute of time
後|のち, うし.ろ, ゴ|behind, back, later
前|まえ, -まえ, ゼン|in front, before
間|あいだ, ま, カン|interval, space
東|ひがし, トウ|east
地|チ|ground, earth
合|あ.う, -あ.う, ゴウ|fit, suit, join, 0.1
市|いち, シ|market, city, town
内|うち, ナイ|inside, within, between
方|かた, -かた, ホウ|direction, person
今|いま, コン|now
回|まわ.る, -まわ.る, カイ|-times, round, game
新|あたら.しい, あら.た, シン|new
場|ば, ジョウ|location, place
米|こめ, よね, ベイ|rice, USA, metre
高|たか.い, たか, コウ|tall, high, expensive
明|あ.かり, あか.るい, メイ|bright, light
京|みやこ, キョウ|capital, 10**16
通|とお.る, とお.り, ツウ|traffic, pass through
外|そと, ほか, ガイ|outside
言|い.う, こと, ゲン|say
理|ことわり, リ|logic, arrangement
体|からだ, かたち, タイ|body, substance, object
当|あ.たる, あ.たり, トウ|hit, right, appropriate
首|くび, シュ|neck
来|く.る, きた.る, ライ|come, due, next, cause
作|つく.る, つく.り, サク|make, production
用|もち.いる, ヨウ|utilize, business
強|つよ.い, つよ.まる, キョウ|strong
公|おおやけ, コウ|public, prince, official
野|の, の-, ヤ|plains, field, rustic
思|おも.う, おもえら.く, シ|think
家|いえ, や, カ|house, home, family
話|はな.す, はなし, ワ|tale, talk
多|おお.い, まさ.に, タ|many, frequent, much
数|かず, かぞ.える, スウ|number, strength, fate
記|しる.す, キ|scribe, account
北|きた, ホク|north
午|うま, ゴ|noon, sign of the horse
心|こころ, -ごころ, シン|heart, mind, spirit
点|つ.ける, つ.く, テン|spot, point, mark, speck
教|おし.える, おそ.わる, キョウ|teach, faith, doctrine
書|か.く, -が.き, ショ|write
