一|ひと-, ひと.つ, イチ|one, one radical (no.1)
九|ここの, ここの.つ, キュウ|nine
七|なな, なな.つ, シチ|seven
十|とお, と, ジュウ|ten
人|ひと, -り, ジン|person
二|ふた, ふた.つ, ニ|two, two radical (no.2)
入|い.る, -い.る, ニュウ|enter, insert
八|や, や.つ, ハチ|eight
土|つち, ド|soil, earth, ground
万|よろず, マン|ten thousand, 10,000
千|ち, セン|thousand
川|かわ, セン|stream, river
大|おお-, おお.きい, ダイ|large, big
子|こ, -こ, シ|child, sign of the rat
女|おんな, め, ジョ|woman, female
小|ちい.さい, こ-, ショウ|little, small
上|うえ, -うえ, ジョウ|above, up
口|くち, コウ|mouth
三|み, み.つ, サン|three
山|やま, サン|mountain
下|した, しも, カ|below, down, descend
円|まる.い, まる, エン|circle, yen, round
火|ひ, -び, カ|fire
今|いま, コン|now
月|つき, ゲツ|month, moon
五|いつ, いつ.つ, ゴ|five
午|うま, ゴ|noon, sign of the horse
少|すく.ない, すこ.し, ショウ|few, little
手|て, て-, シュ|hand
中|なか, うち, チュウ|in, inside, middle, mean
天|あまつ, あめ, テン|heavens, sky, imperial
水|みず, みず-, スイ|water
木|き, こ-, ボク|tree, wood
父|ちち, フ|father
分|わ.ける, わ.け, ブン|part, minute of time
日|ひ, -び, ニチ|day, sun, Japan
友|とも, ユウ|friend
六|む, む.つ, ロク|six
立|た.つ, -た.つ, リツ|stand up, rise, set up
半|なか.ば, ハン|half, middle, odd number
母|はは, も, ボ|mother
北|きた, ホク|north
本|もと, ホン|book, present, main
目|め, -め, モク|eye, class, look
白|しろ, しら-, ハク|white
生|い.きる, い.かす, セイ|life, genuine, birth
出|で.る, -で, シュツ|exit, leave, go out
古|ふる.い, ふる-, コ|old
左|ひだり, サ|left
四|よ, よ.つ, シ|four
外|そと, ほか, ガイ|outside
右|みぎ, ウ|right
気|いき, キ|spirit, mind, air
休|やす.む, やす.まる, キュウ|rest, day off, retire
会|あ.う, あ.わせる, カイ|meeting, meet, party
安|やす.い, やす.まる, アン|relax, cheap, low, quiet
行|い.く, ゆ.く, コウ|going, journey
耳|みみ, ジ|ear
西|にし, セイ|west, Spain
先|さき, ま.ず, セン|before, ahead, previous
多|おお.い, まさ.に, タ|many, frequent, much
名|な, -な, メイ|name, noted
毎|ごと, -ごと.に, マイ|every
百|もも, ヒャク|hundred
年|とし, ネン|year, counter for years
来|く.る, きた.る, ライ|come, due, next, cause
男|おとこ, お, ダン|male
足|あし, た.りる, ソク|leg, foot, be sufficient
社|やしろ, シャ|company, firm, office
車|くるま, シャ|car
見|み.る, み.える, ケン|see, hopes, chances
言|い.う, こと, ゲン|say
花|はな, カ|flower
何|なに, なん, カ|what
雨|あめ, あま-, ウ|rain
学|まな.ぶ, ガク|study, learning, science
空|そら, あ.く, クウ|empty, sky, void, vacant
金|かね, かな-, キン|gold
国|くに, コク|country
長|なが.い, おさ, チョウ|long, leader
店|みせ, たな, テン|store, shop
東|ひがし, トウ|east
南|みなみ, ナン|south
前|まえ, -まえ, ゼン|in front, before
食|く.う, く.らう, ショク|eat, food
後|のち, うし.ろ, ゴ|behind, back, later
高|たか.い, たか, コウ|tall, high, expensive
校|コウ|exam, school, printing
時|とき, -どき, ジ|time, hour
書|か.く, -が.き, ショ|write
週|シュウ|week
魚|うお, さかな, ギョ|fish
間|あいだ, ま, カン|interval, space
飲|の.む, -の.み, イン|drink, smoke, take
道|みち, ドウ|road-way, street
買|か.う, バイ|buy
話|はな.す, はなし, ワ|tale, talk
新|あたら.しい, あら.た, シン|new
電|デン|electricity
駅|エキ|station
語|かた.る, かた.らう, ゴ|word, speech, language
読|よ.む, -よ.み, ドク|read
聞|き.く, き.こえる, ブン|hear, ask, listen
力|ちから, リョク|power, strength, strong
夕|ゆう, セキ|evening
工|コウ|craft, construction
元|もと, ゲン|beginning, former time
止|と.まる, -ど.まり, シ|stop, halt
引|ひ.く, ひ.き, イン|pull, tug, jerk, admit
牛|うし, ギュウ|cow
区|ク|ward, district
犬|いぬ, いぬ-, ケン|dog
不|フ|negative, non-, bad
文|ふみ, あや, ブン|sentence, literature
方|かた, -かた, ホウ|direction, person
心|こころ, -ごころ, シン|heart, mind, spirit
切|き.る, -き.る, セツ|cut, cutoff, be sharp
太|ふと.い, ふと.る, タイ|plump, thick, big around
代|か.わる, かわ.る, ダイ|substitute, change
台|うてな, われ, ダイ|pedestal, a stand
世|よ, さんじゅう, セイ|generation, world
正|ただ.しい, ただ.す, セイ|correct, justice
田|た, デン|rice field, rice paddy
冬|ふゆ, トウ|winter
民|たみ, ミン|people, nation, subjects
用|もち.いる, ヨウ|utilize, business
兄|あに, ケイ|elder brother
以|もっ.て, イ|by means of, because
去|さ.る, -さ.る, キョ|gone, past, quit, leave
仕|つか.える, シ|attend, doing, official
市|いち, シ|market, city, town
広|ひろ.い, ひろ.まる, コウ|wide, broad, spacious
主|ぬし, おも, シュ|lord, chief, master
写|うつ.す, うつ.る, シャ|copy, be photographed
字|あざ, あざな, ジ|character, letter, word
自|みずか.ら, おの.ずから, ジ|oneself
考|かんが.える, かんが.え, コウ|consider, think over
合|あ.う, -あ.う, ゴウ|fit, suit, join, 0.1
光|ひか.る, ひかり, コウ|ray, light
好|この.む, す.く, コウ|fond, pleasing
死|し.ぬ, し.に-, シ|death, die
回|まわ.る, -まわ.る, カイ|-times, round, game
有|あ.る, ユウ|possess, have, exist
同|おな.じ, ドウ|same, agree, equal
肉|しし, ニク|meat
色|いろ, ショク|color
早|はや.い, はや, ソウ|early, fast
地|チ|ground, earth
池|いけ, チ|pond, cistern, pool
村|むら, ソン|village, town
体|からだ, かたち, タイ|body, substance, object
町|まち, チョウ|town, village, block
低|ひく.い, ひく.める, テイ|lower, short, humble
弟|おとうと, テイ|younger brother
走|はし.る, ソウ|run
赤|あか, あか-, セキ|red
図|え, はか.る, ズ|map, drawing, plan
究|きわ.める, キュウ|research, study
声|こえ, こわ-, セイ|voice
売|う.る, う.れる, バイ|sell
別|わか.れる, わ.ける, ベツ|separate, branch off
医|い.やす, い.する, イ|doctor, medicine
近|ちか.い, キン|near, early, akin
私|わたくし, わたし, シ|private, I, me
作|つく.る, つく.り, サク|make, production
住|す.む, す.まう, ジュウ|dwell, reside, live
者|もの, シャ|someone, person
事|こと, つか.う, ジ|matter, thing, fact
使|つか.う, つか.い, シ|use
始|はじ.める, -はじ.める, シ|commence, begin
姉|あね, はは, シ|elder sister
英|はなぶさ, エイ|England, English
京|みやこ, キョウ|capital, 10**16
画|えが.く, かく.する, ガ|brush-stroke, picture
妹|いもうと, マイ|younger sister
味|あじ, あじ.わう, ミ|flavor, taste
服|フク|clothing, admit, obey
物|もの, もの-, ブツ|thing, object, matter
歩|ある.く, あゆ.む, ホ|walk, counter for steps
門|かど, と, モン|gate
夜|よ, よる, ヤ|night, evening
明|あ.かり, あか.るい, メイ|bright, light
林|はやし, リン|grove, forest
青|あお, あお-, セイ|blue, green
所|ところ, -ところ, ショ|place
注|そそ.ぐ, さ.す, チュウ|pour, irrigate
知|し.る, し.らせる, チ|know, wisdom
昼|ひる, チュウ|daytime, noon
茶|チャ|tea
待|ま.つ, -ま.ち, タイ|wait, depend on
洗|あら.う, セン|wash, inquire into
送|おく.る, ソウ|escort, send
品|しな, ヒン|goods, refinement
洋|ヨウ|ocean, western style
便|たよ.り, ベン|convenience
風|かぜ, かざ-, フウ|wind, air, style, manner
発|た.つ, あば.く, ハツ|discharge, departure
度|たび, -た.い, ド|degrees, occurrence
映|うつ.る, うつ.す, エイ|reflect, reflection
海|うみ, カイ|sea, ocean
界|カイ|world
屋|や, オク|roof, house, shop
音|おと, ね, オン|sound, noise
急|いそ.ぐ, いそ.ぎ, キュウ|hurry, emergency, sudden
計|はか.る, はか.らう, ケイ|plot, plan, scheme
建|た.てる, た.て, ケン|build
研|と.ぐ, ケン|polish, study of
県|か.ける, ケン|prefecture
思|おも.う, おもえら.く, シ|think
乗|の.る, -の.り, ジョウ|ride, power
重|え, おも.い, ジュウ|heavy, heap up, pile up
春|はる, シュン|springtime
室|むろ, シツ|room, apartment, chamber
持|も.つ, -も.ち, ジ|hold, have
首|くび, シュ|neck
秋|あき, とき, シュウ|autumn
借|か.りる, シャク|borrow, rent
弱|よわ.い, よわ.る, ジャク|weak, frail
紙|かみ, シ|paper
帰|かえ.る, かえ.す, キ|homecoming, arrive at
起|お.きる, お.こる, キ|rouse, wake up, get up
夏|なつ, カ|summer
家|いえ, や, カ|house, home, family
院|イン|Inst., institution
員|イン|employee, member, number
病|や.む, -や.み, ビョウ|ill, sick
勉|つと.める, ベン|exertion
特|トク|special
旅|たび, リョ|trip, travel
料|リョウ|fee, materials
真|ま, ま-, シン|true, reality
通|とお.る, とお.り, ツウ|traffic, pass through
鳥|とり, チョウ|bird, chicken
転|ころ.がる, ころ.げる, テン|revolve, turn around
族|ゾク|tribe, family
進|すす.む, すす.める, シン|advance, proceed
理|ことわり, リ|logic, arrangement
野|の, の-, ヤ|plains, field, rustic
問|と.う, と.い, モン|question, ask, problem
都|みやこ, ト|metropolis, capital
堂|ドウ|public chamber, hall
動|うご.く, うご.かす, ドウ|move, motion, change
悪|わる.い, わる-, アク|bad, vice, rascal, false
強|つよ.い, つよ.まる, キョウ|strong
教|おし.える, おそ.わる, キョウ|teach, faith, doctrine
産|う.む, う.まれる, サン|products, bear
黒|くろ, くろ.ずむ, コク|black
菜|な, サイ|vegetable, side dish
終|お.わる, -お.わる, シュウ|end, finish
習|なら.う, なら.い, シュウ|learn
集|あつ.まる, あつ.める, シュウ|gather, meet, congregate
場|ば, ジョウ|location, place
寒|さむ.い, カン|cold
軽|かる.い, かろ.やか, ケイ|lightly, trifling
運|はこ.ぶ, ウン|carry, luck, destiny
開|ひら.く, ひら.き, カイ|open, unfold, unseal
飯|めし, ハン|meal, boiled rice
答|こた.える, こた.え, トウ|solution, answer
森|もり, シン|forest, woods
暑|あつ.い, ショ|sultry, hot, summer heat
朝|あさ, チョウ|morning, dynasty, regime
貸|か.す, か.し-, タイ|lend
着|き.る, -ぎ, チャク|don, arrive, wear
短|みじか.い, タン|short, brevity, fault
働|はたら.く, ドウ|work, (kokuji)
楽|たの.しい, たの.しむ, ガク|music, comfort, ease
暗|くら.い, くら.む, アン|darkness, disappear
