あいかわらず||as ever,as usual,the same|JLPT N2
アイデア/アイディア||idea|JLPT N2
あいまい||vague,ambiguous|JLPT N2
遭う|あう|to meet,to encounter (undesirable nuance)|JLPT N2
扇ぐ|あおぐ|to fan,to flap|JLPT N2
青白い|あおじろい|pale,pallid|JLPT N2
あかんぼう||baby|JLPT N2
明き|あき|room,time to spare,emptiness|JLPT N2
あきれる||to be amazed,to be shocked|JLPT N2
アクセント||accent|JLPT N2
あくび||yawn|JLPT N2
飽くまで|あくまで|to the end,to the last,stubbornly|JLPT N2
明け方|あけがた|dawn|JLPT N2
揚げる|あげる|to lift,to fry|JLPT N2
挙げる|あげる|to raise,to fly|JLPT N2
あげる (=やる)||to do for|JLPT N2
憧れる|あこがれる|to long for,to yearn after,to admire|JLPT N2
足跡|あしあと|footprints|JLPT N2
味わう|あじわう|to taste,to savor,to relish|JLPT N2
預かる|あずかる|to keep in custody,to receive on deposit,to take charge of|JLPT N2
暖まる|あたたまる|to warm up,to get warm|JLPT N2
暖める|あたためる|to warm,to heat|JLPT N2
あたりまえ||usual,common,ordinary|JLPT N2
あちらこちら||here and there|JLPT N2
厚かましい|あつかましい|impudent,shameless,brazen|JLPT N2
圧縮|あっしゅく|compression,condensation,pressure|JLPT N2
宛名|あてな|address,direction|JLPT N2
あてはまる||to be applicable,to come under (a category),to fulfill|JLPT N2
あてはめる||to apply,to adapt|JLPT N2
暴れる|あばれる|to act violently,to rage,to struggle,to be riotous|JLPT N2
脂|あぶら|fat,tallow,lard|JLPT N2
あぶる||to scorch|JLPT N2
あふれる||to flood,to overflow,to brim over|JLPT N2
雨戸|あまど|sliding storm door|JLPT N2
甘やかす|あまやかす|to pamper,to spoil|JLPT N2
余る|あまる|to remain,to be left over,to be in excess,to be too many|JLPT N2
編物|あみもの|knitting,web|JLPT N2
編む|あむ|to knit|JLPT N2
危うい|あやうい|dangerous,critical,grave|JLPT N2
怪しい|あやしい|suspicious,dubious,doubtful|JLPT N2
荒い|あらい|rough,rude,wild|JLPT N2
あらすじ||outline,summary|JLPT N2
争う|あらそう|to dispute,to argue,to be at variance,to compete|JLPT N2
改めて|あらためて|another time,again,over again,anew,formally|JLPT N2
改める|あらためる|to change,to alter,to reform,to revise|JLPT N2
著す|あらわす|to write,to publish|JLPT N2
有難い|ありがたい|grateful,thankful,welcome,appreciated,evoking gratitude|JLPT N2
在る|ある|to live,to be|JLPT N2
あれこれ||one thing or another,this and that,this or that|JLPT N2
あわただしい||busy,hurried,confused,flurried|JLPT N2
あわてる||to become confused|JLPT N2
安易|あんい|easy-going|JLPT N2
案外|あんがい|unexpectedly|JLPT N2
アンテナ||antenna|JLPT N2
言い出す|いいだす|to start talking,to speak,to tell,to propose,to suggest,to break the ice|JLPT N2
言い付ける|いいつける|to tell,to tell on (someone),to order|JLPT N2
意義|いぎ|meaning,significance|JLPT N2
生き生き|いきいき|vividly,lively|JLPT N2
いきなり||(uk) abruptly,suddenly,all of a sudden,without warning|JLPT N2
育児|いくじ|childcare,nursing,upbringing|JLPT N2
幾分|いくぶん|somewhat|JLPT N2
生け花|いけばな|(1) flower arrangement|JLPT N2
以後|いご|after this,from now on,hereafter,thereafter|JLPT N2
以降|いこう|on and after,hereafter,thereafter|JLPT N2
イコール||equal|JLPT N2
勇ましい|いさましい|brave,valiant,gallant,courageous|JLPT N2
衣食住|いしょくじゅう|necessities of life (food, clothing, etc.)|JLPT N2
意地悪|いじわる|malicious,ill-tempered,unkind|JLPT N2
いちいち||one by one,separately|JLPT N2
一応|いちおう|once,tentatively,in outline,for the time being|JLPT N2
一段と|いちだんと|greater,more,further,still more|JLPT N2
一流|いちりゅう|first class,top grade,foremost,top-notch|JLPT N2
佚|いつ|be lost,peace,hide,mistake,beautiful,in turn|JLPT N2
一斉|いっせい|simultaneous,all at once|JLPT N2
一旦|いったん|once,for a moment,one morning,temporarily|JLPT N2
一定|いってい|fixed,settled,definite|JLPT N2
いつのまにか||before one knows,unnoticed,unawares|JLPT N2
移転|いてん|moving,transfer,demise|JLPT N2
井戸|いど|water well|JLPT N2
緯度|いど|latitude (nav.)|JLPT N2
従姉妹|いとこ|cousin (female)|JLPT N2
威張る|いばる|to be proud,to swagger|JLPT N2
嫌がる|いやがる|to hate,to dislike|JLPT N2
いよいよ||more and more,all the more,increasingly,at last,beyond doubt|JLPT N2
煎る|いる|to parch,to fry|JLPT N2
入れ物|いれもの|container,case,receptacle|JLPT N2
インキ||ink|JLPT N2
インタビュー||interview|JLPT N2
引力|いんりょく|gravity|JLPT N2
ウーマン||woman|JLPT N2
ウール||wool|JLPT N2
ウエートレス||waitress|JLPT N2
植木|うえき|garden shrubs,trees,potted plant|JLPT N2
飢える|うえる|to starve|JLPT N2
浮ぶ|うかぶ|to float,to rise to surface,to come to mind|JLPT N2
浮かべる|うかべる|to float,to express,to look (sad, glad)|JLPT N2
浮く|うく|to float,to become merry,to become loose|JLPT N2
承る|うけたまわる|(hum) to hear,to be told,to know|JLPT N2
受取|うけとり|receipt|JLPT N2
受け持つ|うけもつ|to take (be in) charge of|JLPT N2
薄暗い|うすぐらい|dim,gloomy|JLPT N2
薄める|うすめる|to dilute,to water down|JLPT N2
打合せ|うちあわせ|business meeting,previous arrangement,appointment|JLPT N2
打ち消す|うちけす|to deny,to negate,to contradict|JLPT N2
討つ|うつ|to attack,to avenge|JLPT N2
うっかり||carelessly,thoughtlessly,inadvertently|JLPT N2
映す|うつす|to project,to reflect,to cast (shadow)|JLPT N2
写る|うつる|to be photographed,to be projected|JLPT N2
映る|うつる|to be reflected,to harmonize with,to come out (photo)|JLPT N2
うどん||noodles (Japanese)|JLPT N2
有無|うむ|yes or no,existence,flag indicator (comp),presence or absence marker|JLPT N2
埋める|うめる|to bury,to fill up,to fill (a seat, a vacant position)|JLPT N2
敬う|うやまう|to show respect,to honour|JLPT N2
裏返す|うらがえす|to turn inside out,to turn (something) over|JLPT N2
裏口|うらぐち|backdoor,rear entrance|JLPT N2
占う|うらなう|to forecast,to predict|JLPT N2
