今日|きょう|today|JLPT N5
する||to do|JLPT N5
人|ひと|person|JLPT N5
ある||to be, to have (inanimate objects)|JLPT N5
中|なか|middle|JLPT N5
でも||but|JLPT N5
なる||to become|JLPT N5
私|わたくし|(humble) I,myself|JLPT N5
何|なん/なに|what|JLPT N5
一|いち|one|JLPT N5
今|いま|now|JLPT N5
この||this|JLPT N5
明日|あした|tomorrow|JLPT N5
方|かた|person, way of doing|JLPT N5
時間|じかん|time|JLPT N5
自分|じぶん|oneself|JLPT N5
これ||this|JLPT N5
それ||that|JLPT N5
また||again,and|JLPT N5
その||that|JLPT N5
仕事|しごと|job|JLPT N5
ください||please|JLPT N5
もう||already|JLPT N5
前|まえ|before|JLPT N5
どう||how,in what way|JLPT N5
年|とし|year|JLPT N5
まだ||yet,still|JLPT N5
昨日|きのう|yesterday|JLPT N5
ちょっと||somewhat|JLPT N5
目|め|eye|JLPT N5
朝|あさ|morning|JLPT N5
好き|すき|likeable|JLPT N5
店|みせ|shop|JLPT N5
できる||to be able to|JLPT N5
雨|あめ|rain|JLPT N5
話|はなし|talk,story|JLPT N5
あれ||that|JLPT N5
よく||often, well|JLPT N5
行く|いく|to go|JLPT N5
家|いえ|house|JLPT N5
二|に|two|JLPT N5
など||et cetera|JLPT N5
本|ほん|book|JLPT N5
後|あと|afterwards|JLPT N5
多い|おおい|many|JLPT N5
会社|かいしゃ|company|JLPT N5
こちら||this person or way|JLPT N5
いつも||always|JLPT N5
少し|すこし|few|JLPT N5
あの||that over there|JLPT N5
同じ|おなじ|same|JLPT N5
みんな||everyone|JLPT N5
言う|いう|to say|JLPT N5
こんな||such|JLPT N5
誰|だれ|who|JLPT N5
どこ||where|JLPT N5
問題|もんだい|problem|JLPT N5
大丈夫|だいじょうぶ|all right|JLPT N5
夜|よる|evening,night|JLPT N5
休み|やすみ|rest,holiday|JLPT N5
やる||to do|JLPT N5
写真|しゃしん|photograph|JLPT N5
欲しい|ほしい|want|JLPT N5
ここ||here|JLPT N5
しかし||however|JLPT N5
今年|ことし|this year|JLPT N5
電車|でんしゃ|electric train|JLPT N5
上|うえ|on top of|JLPT N5
意味|いみ|meaning|JLPT N5
手|て|hand|JLPT N5
天気|てんき|weather|JLPT N5
次|つぎ|next|JLPT N5
映画|えいが|movie|JLPT N5
元気|げんき|health, vitality|JLPT N5
子供|こども|child|JLPT N5
結構|けっこう|splendid,enough|JLPT N5
先|さき|the future,previous|JLPT N5
もっと||more|JLPT N5
三|さん|three|JLPT N5
先生|せんせい|teacher,doctor|JLPT N5
電話|でんわ|telephone|JLPT N5
違う|ちがう|to differ|JLPT N5
言葉|ことば|word,language|JLPT N5
駅|えき|station|JLPT N5
悪い|わるい|bad|JLPT N5
一緒|いっしょ|together|JLPT N5
万|まん|ten thousand|JLPT N5
今週|こんしゅう|this week|JLPT N5
車|くるま|car,vehicle|JLPT N5
頭|あたま|head|JLPT N5
勉強|べんきょうする|to study|JLPT N5
とても||very|JLPT N5
風|かぜ|wind|JLPT N5
初めて|はじめて|for the first time|JLPT N5
テレビ||television|JLPT N5
声|こえ|voice|JLPT N5
そこ||that place|JLPT N5
外|そと|outside|JLPT N5
楽しい|たのしい|enjoyable|JLPT N5
高い|たかい|tall, expensive|JLPT N5
たくさん||many|JLPT N5
暑い|あつい|hot|JLPT N5
いろいろ||various|JLPT N5
皆さん|みなさん|everyone|JLPT N5
所|ところ|place|JLPT N5
友達|ともだち|friend|JLPT N5
新しい|あたらしい|new|JLPT N5
出る|でる|to appear,to leave|JLPT N5
寒い|さむい|cold|JLPT N5
なぜ||why|JLPT N5
名前|なまえ|name|JLPT N5
あまり||not very|JLPT N5
カレー||curry|JLPT N5
近く|ちかく|near|JLPT N5
体|からだ|body|JLPT N5
夏|なつ|summer|JLPT N5
はい||yes|JLPT N5
いつ||when|JLPT N5
風邪|かぜ|a cold|JLPT N5
物|もの|thing|JLPT N5
今朝|けさ|this morning|JLPT N5
来る|くる|to come|JLPT N5
買う|かう|to buy|JLPT N5
痛い|いたい|painful|JLPT N5
寝る|ねる|to go to bed,to sleep|JLPT N5
難しい|むずかしい|difficult|JLPT N5
全部|ぜんぶ|all|JLPT N5
秋|あき|autumn|JLPT N5
早い|はやい|early|JLPT N5
国|くに|country|JLPT N5
使う|つかう|to use|JLPT N5
音楽|おんがく|music|JLPT N5
男|おとこ|man|JLPT N5
毎日|まいにち|every day|JLPT N5
部屋|へや|room|JLPT N5
水|みず|water|JLPT N5
学校|がっこう|school|JLPT N5
来週|らいしゅう|next week|JLPT N5
練習|れんしゅうする|to practice|JLPT N5
自転車|じてんしゃ|bicycle|JLPT N5
大好き|だいすき|to be very likeable|JLPT N5
町|まち|town,city|JLPT N5
午後|ごご|afternoon|JLPT N5
どうぞ||please|JLPT N5
あなた||you|JLPT N5
かわいい||cute|JLPT N5
コーヒー||coffee|JLPT N5
足|あし|foot,leg|JLPT N5
家族|かぞく|family|JLPT N5
バス||bus|JLPT N5
色|いろ|colour|JLPT N5
食べる|たべる|to eat|JLPT N5
料理|りょうり|cuisine|JLPT N5
強い|つよい|powerful|JLPT N5
大学|だいがく|university|JLPT N5
来年|らいねん|next year|JLPT N5
ニュース||news|JLPT N5
こっち||this person or way|JLPT N5
下|した|below|JLPT N5
道|みち|street|JLPT N5
大切|たいせつ|important|JLPT N5
作る|つくる|to make|JLPT N5
帰る|かえる|to go back|JLPT N5
お金|おかね|money|JLPT N5
口|くち|mouth,opening|JLPT N5
晴れ|はれ|clear weather|JLPT N5
一つ|ひとつ|one|JLPT N5
今月|こんげつ|this month|JLPT N5
たぶん||probably|JLPT N5
どうも||thanks|JLPT N5
近い|ちかい|near|JLPT N5
どの||which|JLPT N5
絵|え|picture|JLPT N5
学生|がくせい|student|JLPT N5
女|おんな|woman|JLPT N5
十|じゅう とお|ten|JLPT N5
少ない|すくない|a few|JLPT N5
午前|ごぜん|morning|JLPT N5
どれ||which (of three or more)|JLPT N5
昼|ひる|noon, daytime|JLPT N5
英語|えいご|English language|JLPT N5
テスト||test|JLPT N5
ラジオ||radio|JLPT N5
どっち||which|JLPT N5
猫|ねこ|cat|JLPT N5
病院|びょういん|hospital|JLPT N5
大人|おとな|adult|JLPT N5
長い|ながい|long|JLPT N5
入る|はいる|to enter,to contain|JLPT N5
ええ||yes|JLPT N5
パン||bread|JLPT N5
花|はな|flower|JLPT N5
嫌|いや|unpleasant|JLPT N5
ページ||page|JLPT N5
便利|べんり|useful, convenient|JLPT N5
大きな|おおきな|big|JLPT N5
空|そら|sky|JLPT N5
肉|にく|meat|JLPT N5
おいしい||delicious|JLPT N5
どちら||which of two|JLPT N5
歌|うた|song|JLPT N5
野菜|やさい|vegetable|JLPT N5
安い|やすい|cheap|JLPT N5
冬|ふゆ|winter|JLPT N5
夕方|ゆうがた|evening|JLPT N5
隣|となり|next door to|JLPT N5
掃除|そうじする|to clean, to sweep|JLPT N5
山|やま|mountain|JLPT N5
かかる||to take time or money|JLPT N5
女の子|おんなのこ|girl|JLPT N5
辛い|からい|spicy|JLPT N5
旅行|りょこう|travel|JLPT N5
出す|だす|to put out|JLPT N5
犬|いぬ|dog|JLPT N5
雪|ゆき|snow|JLPT N5
質問|しつもん|question|JLPT N5
大きい|おおきい|big|JLPT N5
読む|よむ|to read|JLPT N5
買い物|かいもの|shopping|JLPT N5
若い|わかい|young|JLPT N5
飲む|のむ|to drink|JLPT N5
昨夜|ゆうべ|last night|JLPT N5
カメラ||camera|JLPT N5
聞く|きく|to hear,to listen to,to ask|JLPT N5
土曜日|どようび|Saturday|JLPT N5
日曜日|にちようび|Sunday|JLPT N5
海|うみ|sea|JLPT N5
忙しい|いそがしい|busy,irritated|JLPT N5
結婚|けっこん|marriage|JLPT N5
では||with that...|JLPT N5
嫌い|きらい|hate|JLPT N5
薬|くすり|medicine|JLPT N5
黒|くろ|black|JLPT N5
暇|ひま|free time|JLPT N5
白|しろ|white|JLPT N5
横|よこ|beside,side,width|JLPT N5
電気|でんき|electricity, electric light|JLPT N5
四|し / よん|four|JLPT N5
洗濯|せんたく|washing|JLPT N5
トイレ||toilet|JLPT N5
晩|ばん|evening|JLPT N5
ホテル||hotel|JLPT N5
先週|せんしゅう|last week|JLPT N5
授業|じゅぎょう|lesson,class work|JLPT N5
服|ふく|clothes|JLPT N5
入れる|いれる|to put in|JLPT N5
金曜日|きんようび|Friday|JLPT N5
いかが||how|JLPT N5
ちょうど||exactly|JLPT N5
半分|はんぶん|half minute|JLPT N5
死ぬ|しぬ|to die|JLPT N5
そば||near,beside|JLPT N5
書く|かく|to write|JLPT N5
遅い|おそい|late, slow|JLPT N5
春|はる|spring|JLPT N5
新聞|しんぶん|newspaper|JLPT N5
五|ご|five|JLPT N5
半|はん|half|JLPT N5
夏休み|なつやすみ|summer holiday|JLPT N5
教室|きょうしつ|classroom|JLPT N5
去年|きょねん|last year|JLPT N5
涼しい|すずしい|refreshing|JLPT N5
村|むら|village|JLPT N5
来月|らいげつ|next month|JLPT N5
おなか||stomach|JLPT N5
ボタン||button|JLPT N5
分かる|わかる|to be understood|JLPT N5
小さい|ちいさい|little|JLPT N5
箱|はこ|box|JLPT N5
千|せん|thousand|JLPT N5
